RA,T1,T2,T3,T4,T5,T6,Tmed,P1,P2,P3,Part,MF
530,2,8,10,6,10,6,8,4.8,4.5,6.3,10,6.4
560,7.5,4.5,7.5,7.5,7,7.5,7.4,4.3,2.5,2.3,10,4.9
1923,9.5,8,10,2,10,9,9.3,7.5,6.5,5.3,10,7.6
2449,8,10,0,7.5,7,8,8.1,7.5,4,3.3,10,6.3
2718,9,3.5,10,7.5,9,8,8.7,8.8,6,2.5,10,7
2728,9,10,10,6,5,6,8.2,9,2.5,2.8,0,5.7
2735,9.5,10,10,8,9.5,0,9.4,8.5,6.8,0,10,6.9
4149,10,7,6.5,0,8.5,0,6.4,7.3,4,1.5,10,5.3
4843,1,8,8.5,4,0,0,4.3,4.3,1,0,10,3.1
4844,2,0,8,0,0,0,2,4.3,0.5,0,5,1.9
4860,8.5,10,5,6.5,6,7.5,7.7,8,4.8,1.5,10,6.1
4861,7,8,6.5,0,0,0,4.3,4.3,0.5,0,10,3
4882,2.5,10,10,3.5,8,8,7.9,6.5,5.8,0.8,10,5.9
7653,7,0,0,0,0,0,1.4,0,0,0,0,0.5
7862,1.5,10,7.5,6,0,0,5,3.5,1.5,0,0,2.8
8172,9.5,10,10,2,8.5,0,8,7.5,8.8,5.3,5,7.4
8310,9,10,6.5,6,8.5,0,8,5.8,8,7,5,7.2
8549,10,10,10,7,10,6,9.4,8.5,7.5,4.8,10,8
8557,9.5,10,10,6,7.5,2,8.6,9,9.5,5.8,10,8.4
8584,5.5,9,10,8,9,8,8.8,9.3,6.8,6.5,10,8.1
8642,8,10,10,10,9.5,0,9.5,10.5,10,8.8,10,9.7
8655,8.5,10,10,9,10,8.5,9.5,10.5,9.8,9.3,10,9.7
8695,8.5,8,4.5,0,0,0,4.2,5.8,1,0,10,3.3
8897,10,10,10,9,10,10,10,9,10,10,10,9.8
